Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
0,001,C:\Users\jcraig\pydarwin\Example3\temp\0\001,3897.906664,00000,3781.9066641999057,True,True,False,3,3,2,363.55823219869137,0,0,No important warnings
0,003,C:\Users\jcraig\pydarwin\Example3\temp\0\003,3399.549924,10000,3383.54992399095,True,True,True,3,3,2,9.622538727589886,0,0,No important warnings
0,002,C:\Users\jcraig\pydarwin\Example3\temp\0\002,4227.401068,01000,4007.4010680658366,True,True,False,4,4,2,1706.2193209390664,0,0,No important warnings
0,004,C:\Users\jcraig\pydarwin\Example3\temp\0\004,3703.631342,11000,3383.6313419891044,False,True,False,4,4,2,203867.43784306524,0,0,No important warnings
0,005,C:\Users\jcraig\pydarwin\Example3\temp\0\005,3603.438824,20000,3383.4388239960945,True,True,False,4,4,2,1.89651769680256e+16,0,0,No important warnings
0,007,C:\Users\jcraig\pydarwin\Example3\temp\0\007,3117.291569,30000,3093.2915693497475,True,True,True,5,5,2,21.33514385009972,0,0,No important warnings
0,006,C:\Users\jcraig\pydarwin\Example3\temp\0\006,3558.619050,21000,3334.619050413446,False,True,False,5,5,2,484.4233646076666,0,0,No important warnings
0,009,C:\Users\jcraig\pydarwin\Example3\temp\0\009,2896.585811,40000,2872.5858113806908,True,True,True,5,5,2,21.339314836499053,0,0,No important warnings
0,008,C:\Users\jcraig\pydarwin\Example3\temp\0\008,3382.375851,31000,3154.3758509868,True,True,False,6,6,2,3170803.724351983,0,0,No important warnings
0,010,C:\Users\jcraig\pydarwin\Example3\temp\0\010,3163.877435,41000,2935.877434823235,True,True,False,6,6,2,4154266262498.06,0,0,No important warnings
0,011,C:\Users\jcraig\pydarwin\Example3\temp\0\011,3163.580559,50000,2935.5805585699404,True,True,False,6,6,2,1.1621329623826246e+16,0,0,No important warnings
0,012,C:\Users\jcraig\pydarwin\Example3\temp\0\012,3264.898491,51000,2932.8984913760096,False,True,False,7,7,2,474894747859871.9,0,0,No important warnings
0,013,C:\Users\jcraig\pydarwin\Example3\temp\0\013,3041.883268,60000,2909.8832681212216,True,True,True,7,7,2,6547415126929346.0,0,0,No important warnings
