 ,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
5,9,14,16,16,16,16,16,16,16,16,16,16,16,16,16
6,14,25,30,32,32,32,32,32,32,32,32,32,32,32,32
7,22,45,57,62,64,64,64,64,64,64,64,64,64,64,64
8,35,82,109,121,126,128,128,128,128,128,128,128,128,128,128
9,56,150,209,237,249,254,256,256,256,256,256,256,256,256,256
10,90,275,402,465,493,505,510,512,512,512,512,512,512,512,512
11,145,505,774,913,977,1005,1017,1022,1024,1024,1024,1024,1024,1024,1024
12,234,928,1491,1794,1937,2001,2029,2041,2046,2048,2048,2048,2048,2048,2048
13,378,1706,2873,3526,3841,3985,4049,4077,4089,4094,4096,4096,4096,4096,4096
14,611,3137,5537,6931,7618,7937,8081,8145,8173,8185,8190,8192,8192,8192,8192
15,988,5769,10672,13625,15110,15809,16129,16273,16337,16365,16377,16382,16384,16384,16384
16,1598,10610,20570,26785,29971,31490,32193,32513,32657,32721,32749,32761,32766,32768,32768
