Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation..,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran.messages
0,1,/home/jcraig/pydarwin/Example8/temp/0/01,-2167.374203,110111112,-2537.37420281145,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,No important warnings
0,2,/home/jcraig/pydarwin/Example8/temp/0/02,-319.151577,10010110,-769.1515770323039,FALSE,FALSE,FALSE,6,3,1,99999999999,0,0,No important warnings
0,3,/home/jcraig/pydarwin/Example8/temp/0/03,-423.685556,10111020,-783.6855558340034,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
0,4,/home/jcraig/pydarwin/Example8/temp/0/04,-2175.043695,110100021,-2530.0436952970786,TRUE,FALSE,FALSE,7,3,1,99999999999,0,0,No important warnings
0,5,/home/jcraig/pydarwin/Example8/temp/0/05,-2407.355016,101101111,-2767.3550160147756,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
0,6,/home/jcraig/pydarwin/Example8/temp/0/06,-2173.124967,110001022,-2533.1249669889585,TRUE,FALSE,FALSE,7,3,2,99999999999,0,0,No important warnings
0,7,/home/jcraig/pydarwin/Example8/temp/0/07,-720.998649,11101020,-1080.9986487896242,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
0,8,/home/jcraig/pydarwin/Example8/temp/0/08,-2150.522082,111012,-2505.5220819408273,TRUE,FALSE,FALSE,7,2,2,99999999999,0,0,No important warnings
0,9,/home/jcraig/pydarwin/Example8/temp/0/09,-729.066496,10010000,-769.0664959657233,TRUE,TRUE,TRUE,5,2,1,56.585487154229945,0,0,No important warnings
0,10,/home/jcraig/pydarwin/Example8/temp/0/10,-1052.096376,111101010,-1112.096375623806,TRUE,TRUE,TRUE,9,2,1,29.96863313144807,0,0,No important warnings
1,1,/home/jcraig/pydarwin/Example8/temp/1/01,-409.532206,100111020,-769.5322059509112,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
1,2,/home/jcraig/pydarwin/Example8/temp/1/02,-2508.95207,111011112,-2878.9520697569096,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,No important warnings
1,3,/home/jcraig/pydarwin/Example8/temp/1/03,-2155.337791,100111021,-2515.337791186123,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
1,4,/home/jcraig/pydarwin/Example8/temp/1/04,-2464.155409,11011122,-2834.1554085397433,TRUE,FALSE,FALSE,8,4,2,99999999999,0,0,No important warnings
1,5,/home/jcraig/pydarwin/Example8/temp/0/04,-2175.043695,110100021,-2530.0436952970786,TRUE,FALSE,FALSE,7,3,1,99999999999,0,0,From NM_0_04: No important warnings
1,6,/home/jcraig/pydarwin/Example8/temp/0/05,-2407.355016,101101111,-2767.3550160147756,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,From NM_0_05: No important warnings
1,7,/home/jcraig/pydarwin/Example8/temp/1/07,-2153.893102,100100112,-2508.893102246086,TRUE,FALSE,FALSE,6,3,2,99999999999,0,0,No important warnings
1,8,/home/jcraig/pydarwin/Example8/temp/0/06,-2173.124967,110001022,-2533.1249669889585,TRUE,FALSE,FALSE,7,3,2,99999999999,0,0,From NM_0_06: No important warnings
1,9,/home/jcraig/pydarwin/Example8/temp/0/01,-2167.374203,110111112,-2537.37420281145,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,From NM_0_01: No important warnings
1,10,/home/jcraig/pydarwin/Example8/temp/1/10,-2505.493025,111110122,-2880.4930245266883,TRUE,FALSE,FALSE,9,4,2,99999999999,0,0,No important warnings
2,1,/home/jcraig/pydarwin/Example8/temp/2/01,-2510.848452,111101022,-2880.84845208513,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,No important warnings
2,2,/home/jcraig/pydarwin/Example8/temp/1/10,-2505.493025,111110122,-2880.4930245266883,TRUE,FALSE,FALSE,9,4,2,99999999999,0,0,From NM_1_10: No important warnings
2,3,/home/jcraig/pydarwin/Example8/temp/2/03,-2477.477592,11010111,-2832.477591828406,TRUE,FALSE,FALSE,7,3,1,99999999999,0,0,No important warnings
2,4,/home/jcraig/pydarwin/Example8/temp/0/05,-2407.355016,101101111,-2767.3550160147756,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,From NM_0_05: No important warnings
2,5,/home/jcraig/pydarwin/Example8/temp/2/05,-2397.257748,101111022,-2767.2577476635465,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,No important warnings
2,6,/home/jcraig/pydarwin/Example8/temp/2/06,-2386.462903,1100102,-2736.4629025495883,TRUE,FALSE,FALSE,5,3,2,99999999999,0,0,No important warnings
2,7,/home/jcraig/pydarwin/Example8/temp/1/10,-2505.493025,111110122,-2880.4930245266883,TRUE,FALSE,FALSE,9,4,2,99999999999,0,0,From NM_1_10: No important warnings
2,8,/home/jcraig/pydarwin/Example8/temp/1/02,-2508.95207,111011112,-2878.9520697569096,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,From NM_1_02: No important warnings
2,9,/home/jcraig/pydarwin/Example8/temp/2/09,-2404.15354,101001121,-2764.153539853039,TRUE,FALSE,FALSE,7,4,1,99999999999,0,0,No important warnings
2,10,/home/jcraig/pydarwin/Example8/temp/1/04,-2464.155409,11011122,-2834.1554085397433,TRUE,FALSE,FALSE,8,4,2,99999999999,0,0,From NM_1_04: No important warnings
3,1,/home/jcraig/pydarwin/Example8/temp/1/10,-2505.493025,111110122,-2880.4930245266883,TRUE,FALSE,FALSE,9,4,2,99999999999,0,0,From NM_1_10: No important warnings
3,2,/home/jcraig/pydarwin/Example8/temp/1/10,-2505.493025,111110122,-2880.4930245266883,TRUE,FALSE,FALSE,9,4,2,99999999999,0,0,From NM_1_10: No important warnings
3,3,/home/jcraig/pydarwin/Example8/temp/3/03,-718.64062,11100120,-1078.640619906929,TRUE,FALSE,FALSE,7,4,1,99999999999,0,0,No important warnings
3,4,/home/jcraig/pydarwin/Example8/temp/3/04,-2378.522884,1111102,-2738.5228839945153,TRUE,FALSE,FALSE,7,3,2,99999999999,0,0,No important warnings
3,5,/home/jcraig/pydarwin/Example8/temp/3/05,-2416.333919,101000002,-2761.3339193757342,TRUE,FALSE,FALSE,5,2,2,99999999999,0,0,No important warnings
3,6,/home/jcraig/pydarwin/Example8/temp/3/06,-2401.860722,101000122,-2761.8607219175888,TRUE,FALSE,FALSE,6,4,2,99999999999,0,0,No important warnings
3,7,/home/jcraig/pydarwin/Example8/temp/3/07,-2507.330529,111111022,-2882.3305294679526,TRUE,FALSE,FALSE,10,3,2,99999999999,0,0,No important warnings
3,8,/home/jcraig/pydarwin/Example8/temp/3/08,-2503.93635,111011122,-2878.936350488095,TRUE,FALSE,FALSE,9,4,2,99999999999,0,0,No important warnings
3,9,/home/jcraig/pydarwin/Example8/temp/3/09,99999999999,100110122,99999999999,FALSE,FALSE,FALSE,7,4,2,99999999999,0,0,No important warnings
